NAME,month,temperature,temp_type,year,day
Australian Capital Territory,6,-0.1,min,2019,
Australian Capital Territory,7,0.7,min,2019,
Australian Capital Territory,8,0.1,min,2019,
Australian Capital Territory,9,2.1,min,2019,
Australian Capital Territory,10,6.2,min,2019,
Australian Capital Territory,11,9.5,min,2019,
Australian Capital Territory,12,13.1,min,2019,
Australian Capital Territory,6,14.1,max,2019,
Australian Capital Territory,7,13.7,max,2019,
Australian Capital Territory,8,14.2,max,2019,
Australian Capital Territory,9,18.8,max,2019,
Australian Capital Territory,10,23.6,max,2019,
Australian Capital Territory,11,26.8,max,2019,
Australian Capital Territory,12,31.7,max,2019,
New South Wales,6,10,min,2019,
New South Wales,7,9.5,min,2019,
New South Wales,8,9.4,min,2019,
New South Wales,9,12.2,min,2019,
New South Wales,10,14.7,min,2019,
New South Wales,11,16.9,min,2019,
New South Wales,12,18.9,min,2019,
New South Wales,6,18.5,max,2019,
New South Wales,7,19.7,max,2019,
New South Wales,8,19.5,max,2019,
New South Wales,9,21.7,max,2019,
New South Wales,10,24.4,max,2019,
New South Wales,11,26.6,max,2019,
New South Wales,12,26.8,max,2019,
Victoria,6,8.3,min,2019,
Victoria,7,8.2,min,2019,
Victoria,8,7.4,min,2019,
Victoria,9,9.1,min,2019,
Victoria,10,10.7,min,2019,
Victoria,11,11.2,min,2019,
Victoria,12,14,min,2019,
Victoria,6,15.5,max,2019,
Victoria,7,15,max,2019,
Victoria,8,14.5,max,2019,
Victoria,9,17.8,max,2019,
Victoria,10,21.3,max,2019,
Victoria,11,21.8,max,2019,
Victoria,12,24.6,max,2019,
Queensland,6,11.4,min,2019,
Queensland,7,10.1,min,2019,
Queensland,8,10.4,min,2019,
Queensland,9,12.8,min,2019,
Queensland,10,15.9,min,2019,
Queensland,11,19.2,min,2019,
Queensland,12,20.6,min,2019,
Queensland,6,21.6,max,2019,
Queensland,7,22,max,2019,
Queensland,8,22.5,max,2019,
Queensland,9,25.4,max,2019,
Queensland,10,24.7,max,2019,
Queensland,11,28.4,max,2019,
Queensland,12,29.5,max,2019,
South Australia,6,7.55,min,2019,
South Australia,7,8.5,min,2019,
South Australia,8,6.7,min,2019,
South Australia,9,8.1,min,2019,
South Australia,10,10.9,min,2019,
South Australia,11,11.25,min,2019,
South Australia,12,15.9,min,2019,
South Australia,6,16.35,max,2019,
South Australia,7,16.35,max,2019,
South Australia,8,15.9,max,2019,
South Australia,9,19.25,max,2019,
South Australia,10,24.1,max,2019,
South Australia,11,24,max,2019,
South Australia,12,29.5,max,2019,
Western Australia,6,9.2,min,2019,
Western Australia,7,8.4,min,2019,
Western Australia,8,7.8,min,2019,
Western Australia,9,9,min,2019,
Western Australia,10,10.6,min,2019,
Western Australia,11,14,min,2019,
Western Australia,12,17.7,min,2019,
Western Australia,6,19.6,max,2019,
Western Australia,7,19.3,max,2019,
Western Australia,8,20.2,max,2019,
Western Australia,9,23.1,max,2019,
Western Australia,10,24.7,max,2019,
Western Australia,11,29.8,max,2019,
Western Australia,12,33.9,max,2019,
